"일자","중식계","석식계"
2021-01-27,919,414
2021-01-28,925,447
2021-01-29,689,359
2021-02-01,1246,572
2021-02-02,1022,497
2021-02-03,952,447
2021-02-04,997,482
2021-02-05,662,400
2021-02-08,1287,595
2021-02-09,1003,558
2021-02-10,748,361
2021-02-15,1264,655
2021-02-16,1034,638
2021-02-17,943,386
2021-02-18,965,490
2021-02-19,703,380
2021-02-22,1185,548
2021-02-23,1005,549
2021-02-24,942,414
2021-02-25,985,473
2021-02-26,717,384
2021-03-02,1152,585
2021-03-03,961,449
2021-03-04,979,537
2021-03-05,642,412
2021-03-08,1246,595
2021-03-09,1019,646
2021-03-10,940,422
2021-03-11,969,468
2021-03-12,767,388
2021-03-15,1232,593
2021-03-16,978,518
2021-03-17,934,419
2021-03-18,940,500
2021-03-19,670,379
2021-03-22,1219,572
2021-03-23,969,567
2021-03-24,926,424
2021-03-25,907,519
2021-03-26,657,377
2021-03-29,1062,484
2021-03-30,947,536
2021-03-31,916,409
2021-04-01,861,466
2021-04-02,656,375
2021-04-05,1168,555
2021-04-06,887,524
2021-04-07,881,430
2021-04-08,826,456
2021-04-09,677,380
