"일자","중식계","석식계"
2021-01-27,907,403
2021-01-28,927,430
2021-01-29,688,338
2021-02-01,1262,574
2021-02-02,1009,502
2021-02-03,939,445
2021-02-04,996,492
2021-02-05,701,418
2021-02-08,1236,596
2021-02-09,1062,577
2021-02-10,793,381
2021-02-15,1288,681
2021-02-16,1068,653
2021-02-17,980,404
2021-02-18,963,491
2021-02-19,731,404
2021-02-22,1150,552
2021-02-23,1019,566
2021-02-24,928,431
2021-02-25,992,501
2021-02-26,720,396
2021-03-02,1134,589
2021-03-03,954,466
2021-03-04,962,549
2021-03-05,652,419
2021-03-08,1212,616
2021-03-09,1028,666
2021-03-10,916,429
2021-03-11,987,488
2021-03-12,761,394
2021-03-15,1218,616
2021-03-16,951,521
2021-03-17,933,430
2021-03-18,937,513
2021-03-19,692,394
2021-03-22,1150,578
2021-03-23,961,571
2021-03-24,900,429
2021-03-25,877,520
2021-03-26,653,375
2021-03-29,1072,503
2021-03-30,939,547
2021-03-31,892,408
2021-04-01,845,472
2021-04-02,670,387
2021-04-05,1130,557
2021-04-06,937,526
2021-04-07,862,435
2021-04-08,860,455
2021-04-09,676,395
