"일자","중식계","석식계"
2021-01-27,906,409
2021-01-28,944,429
2021-01-29,703,330
2021-02-01,1242,568
2021-02-02,1004,500
2021-02-03,931,449
2021-02-04,1005,505
2021-02-05,700,445
2021-02-08,1189,583
2021-02-09,1102,573
2021-02-10,814,409
2021-02-15,1284,677
2021-02-16,1086,642
2021-02-17,996,424
2021-02-18,959,505
2021-02-19,730,432
2021-02-22,1113,540
2021-02-23,1005,574
2021-02-24,926,452
2021-02-25,1006,523
2021-02-26,710,417
2021-03-02,1111,584
2021-03-03,945,490
2021-03-04,943,556
2021-03-05,630,444
2021-03-08,1197,630
2021-03-09,1035,670
2021-03-10,912,447
2021-03-11,995,499
2021-03-12,784,417
2021-03-15,1204,626
2021-03-16,912,508
2021-03-17,951,456
2021-03-18,955,521
2021-03-19,685,419
2021-03-22,1096,567
2021-03-23,961,571
2021-03-24,894,450
2021-03-25,874,523
2021-03-26,649,393
2021-03-29,1046,513
2021-03-30,952,563
2021-03-31,884,432
2021-04-01,826,475
2021-04-02,687,400
2021-04-05,1083,545
2021-04-06,952,527
2021-04-07,851,438
2021-04-08,862,451
2021-04-09,683,409
