"일자","중식계","석식계"
2021-01-27,902,394
2021-01-28,874,397
2021-01-29,658,282
2021-02-01,1234,602
2021-02-02,1014,471
2021-02-03,949,427
2021-02-04,1006,502
2021-02-05,775,452
2021-02-08,1302,610
2021-02-09,1071,543
2021-02-10,760,254
2021-02-15,1286,683
2021-02-16,1139,593
2021-02-17,995,414
2021-02-18,961,516
2021-02-19,701,443
2021-02-22,1183,591
2021-02-23,1020,592
2021-02-24,942,424
2021-02-25,936,530
2021-02-26,719,340
2021-03-02,1176,629
2021-03-03,996,483
2021-03-04,943,584
2021-03-05,691,447
2021-03-08,1239,657
2021-03-09,1100,639
2021-03-10,954,436
2021-03-11,991,505
2021-03-12,726,364
2021-03-15,1231,640
2021-03-16,976,540
2021-03-17,927,435
2021-03-18,923,505
2021-03-19,688,369
2021-03-22,1169,606
2021-03-23,942,580
2021-03-24,924,432
2021-03-25,883,499
2021-03-26,666,318
2021-03-29,1149,571
2021-03-30,909,541
2021-03-31,887,406
2021-04-01,834,470
2021-04-02,611,368
2021-04-05,1177,586
2021-04-06,924,508
2021-04-07,878,426
2021-04-08,895,444
2021-04-09,632,357
